File Name: blom.rle, No. Iterations: 100,,,
Grid size,Name,Global Time (ms),Times per 10 Iterations,Memory Usage before and after (MB)
128,Naive,271,"[26, 26, 26, 26, 26, 26, 27, 29, 28, 27]","[502172, 502484]"
128,Sparse,21,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 1]","[502644, 502864]"
128,Optimized,205,"[20, 19, 19, 19, 20, 20, 20, 21, 20, 21]","[503072, 503272]"
128,TrackAliveCells,17,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","[503476, 503636]"
128,Parallel,165,"[20, 18, 16, 16, 18, 9, 15, 15, 18, 16]","[503708, 503908]"
128,HashParallel,350,"[43, 32, 33, 35, 37, 36, 33, 33, 33, 29]","[504052, 504748]"
128,Bitwise,269,"[26, 26, 27, 28, 26, 26, 26, 26, 26, 26]","[504800, 504852]"
128,Hashlife,322,"[44, 29, 29, 29, 35, 30, 31, 30, 31, 31]","[504884, 517844]"
256,Naive,1115,"[106, 111, 114, 110, 115, 109, 109, 118, 108, 110]","[517872, 517980]"
256,Sparse,21,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 1]","[518000, 518016]"
256,Optimized,852,"[86, 84, 84, 84, 85, 84, 88, 84, 84, 85]","[518120, 518156]"
256,TrackAliveCells,74,"[8, 7, 7, 6, 8, 7, 6, 6, 6, 6]","[518176, 518192]"
256,Parallel,171,"[20, 17, 17, 18, 17, 18, 19, 16, 7, 16]","[518212, 518216]"
256,HashParallel,332,"[30, 31, 34, 34, 31, 33, 33, 37, 34, 29]","[518240, 518320]"
256,Bitwise,1105,"[108, 108, 115, 109, 112, 113, 110, 108, 109, 108]","[518324, 518336]"
256,Hashlife,1418,"[170, 138, 138, 137, 142, 139, 135, 137, 140, 137]","[518420, 563940]"
