File Name: blom.rle, No. Iterations: 100,,,
Grid size,Name,Global Time (ms),Times per 10 Iterations,Memory Usage before and after (MB)
128,Naive,294,"[33, 30, 28, 30, 27, 33, 31, 25, 26, 26]","[581152, 581460]"
128,Sparse,22,"[0, 1, 1, 2, 2, 2, 3, 2, 2, 2]","[581724, 581808]"
128,Optimized,211,"[22, 21, 21, 20, 20, 20, 21, 21, 21, 20]","[582008, 582196]"
128,TrackAliveCells,18,"[1, 1, 2, 1, 1, 2, 1, 1, 1, 1]","[582260, 582444]"
128,Parallel,108,"[11, 5, 6, 15, 12, 13, 18, 10, 1, 13]","[582504, 582700]"
128,HashParallel,353,"[26, 35, 34, 39, 38, 34, 36, 39, 34, 33]","[582744, 583644]"
128,Bitwise,276,"[27, 27, 30, 27, 26, 27, 27, 27, 27, 27]","[583692, 583816]"
128,Hashlife,326,"[41, 29, 29, 31, 32, 39, 30, 30, 30, 29]","[583964, 596964]"
256,Naive,1135,"[102, 134, 125, 118, 120, 104, 105, 106, 110, 107]","[596984, 597012]"
256,Sparse,22,"[0, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[597032, 597056]"
256,Optimized,903,"[84, 94, 87, 91, 88, 87, 89, 97, 92, 89]","[597072, 597104]"
256,TrackAliveCells,68,"[7, 6, 7, 6, 6, 6, 6, 6, 6, 6]","[597204, 597208]"
256,Parallel,181,"[24, 25, 18, 19, 14, 15, 16, 16, 15, 15]","[597232, 597248]"
256,HashParallel,325,"[28, 32, 34, 32, 36, 30, 32, 33, 33, 31]","[597280, 597360]"
256,Bitwise,1125,"[107, 111, 112, 120, 114, 109, 111, 116, 110, 110]","[597376, 597468]"
256,Hashlife,1411,"[174, 132, 136, 135, 135, 140, 137, 134, 139, 144]","[597476, 643012]"
512,Naive,4354,"[427, 434, 429, 435, 435, 433, 437, 440, 439, 441]","[643124, 643136]"
512,Sparse,21,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[643140, 643148]"
512,Optimized,3609,"[346, 368, 356, 354, 362, 375, 361, 361, 356, 364]","[643160, 643180]"
512,TrackAliveCells,292,"[29, 27, 27, 28, 28, 28, 31, 31, 28, 31]","[643184, 643192]"
512,Parallel,239,"[31, 30, 28, 24, 23, 21, 18, 21, 16, 24]","[643200, 643220]"
512,HashParallel,325,"[28, 28, 28, 35, 35, 34, 31, 37, 35, 30]","[643228, 643256]"
512,Bitwise,4578,"[453, 452, 465, 460, 455, 456, 450, 474, 449, 459]","[643260, 643268]"
512,Hashlife,5883,"[728, 568, 563, 568, 569, 573, 568, 575, 581, 585]","[643268, 825276]"
